RGUID,ImpressionTime,ImpressionDate,ABTestID,CleansedQuery,RawQuery,ReturnedAdCnt,TQS_qasp,Decile,ValidSearch,PublisherId,PublisherAccountId,BingAlteredQuery,BingAugments,EnableLogType,EMListingNumbers,PMListingNumbers,BMListingNumbers,SMListingNumbers,EMListingCnt_MU,PMListingCnt_MU,BMListingCnt_MU,SMListingCnt_MU,ExpandedMatchesCnt,QoQMatchesCnt,PhraseMatchCnt,FormCode,DeviceMake,DeviceModel,DeviceOSVersion,MarketplaceClassificationId,RelatedToAccountId,MediumId,Market,DeviceTypeId
000c1f8988504b67881cefcef31b0de1,"1:35 AM","7/17/2016",29640,ime eve come,ime. eve come. in,0,,0,0,-3004994,944330,,,0,0,0,0,0,0,0,0,0,0,1,5,YHOOIL,,,6.1,1,Yahoo,1,en-us,1
000c99594531413ba84a80382ac3ff5c,"1:50 AM","7/17/2016",2071,書桌 置物架,書桌置物架,9,,8,1,11064001,1607337,,,0,0,1,0,0,1,64,0,0,1,0,0,NOFORM,ASUS,ME173X,4.2.2,2,Yahoo,1,zh-tw,4
000ca80f0c7940919fcbf080fcf96045,"1:57 AM","7/17/2016",34445,steam lobster tails,how to steam lobster tails,3,,5,1,230887,215923,rankonly:how rankonly:to word:(steam steamed steaming) word:(lobster lobsters) word:(tails tail),[qlf$1070:0$1071:0$1072:1$1075:500000$1078:1000000$1081:1000000$1084:1500000$1087:992000$1090:1000000$1093:3$1096:999474$1099:1000000$1102:0$1105:999233$1108:9986$1111:0$1114:995074$1117:999599$1120:979299$1123:0][qlf$2100:3] [maltaquery:1] [QASDirectives=1] [dfv2$Body:480853825_1499471438_20039109,2068144,1594362_4625671,428096_3913789,18489679] [InterestingTuple:0:0:0:1:1] [InterestingTuple:0:1:3:4:1] [InterestingTuple:4:0:0:1:98] [InterestingTuple:4:1:2:2:1] [InterestingTuple:4:2:3:4:99] [InterestingTuple:5:0:2:2:662] [InterestingTuple:5:1:3:3:13] [qlf$101:1$102:1$103:3$104:2$105:2$121:6897$122:4030$123:10600$124:12080$125:12555$131:7939$132:14963$133:21182$134:16292$141:5709$142:5047$143:9934$144:10910$145:11988$151:6313$152:13984$153:17608$154:14355$161:6435$162:5109$163:10056$164:11688$165:12104$171:7019$172:14763$173:19989$174:15560$182:1$183:135227$370:0$371:0$372:856599$373:930941$374:853260$400:566$401:373$402:301$410:461$411:307$420:458$421:391$677:0$678:0$684:1$688:1$692:1$693:20$694:20$696:1$697:20$700:1$701:20$1722:2892013299$1724:100047$1732:2212439589$1733:100038$1734:2539868304$1735:100029$1736:3288908402$1757:1753233952$1758:100013$2039:650$2040:570769$2041:5$2290:928764355$2291:7$2292:2892013299$2293:7$2300:0$2301:0$2302:824595$2303:915274$2304:779510$2311:100013$2400:489818946$2401:456857088$2402:656540485$2403:1279204352$2404:574358080$2405:473242624$2406:1114187630$2407:878328576$2408:659951453$2409:826219776$2442:0$2443:0$2444:0$2445:2$2446:3$2447:79027488$2448:11896272$2449:22562$2610:321653567$2611:2309153$2612:522453572$2613:6242337$2614:489362478$2615:1187077$2616:1265316977$2617:3629847$2618:508364889$2619:3683345$2630:437729083$2631:16166$2636:1314878324$2637:27948] [querypath=0::10] [querypath=1:0-0-0-0-1:5] [querypath=2:0-0-0-1-1:1] [querypath=3:0-0-1-1-1:0] [querypath=4:0-0-2-1-1:0] [rankalt$w=how$a=how$s=501] [rankalt$w=lobster$a=lobster$s=461] [rankalt$w=lobster$a=lobsters$s=307] [rankalt$w=steam$a=steam$s=566] [rankalt$w=steam$a=steamed$s=373] [rankalt$w=steam$a=steamer$s=85] [rankalt$w=steam$a=steaming$s=301] [rankalt$w=tails$a=meat$s=98] [rankalt$w=tails$a=tail$s=391] [rankalt$w=tails$a=tails$s=458] [rankalt$w=to$a=to$s=486] [prop$type:GEE$id:GEEEntityTM=49132776-7391-746b-ddd5-588b744e68ab@0.747089@2@2@662@product@computer.software|b6639d78-92eb-858f-3808-8ce63b12e18e@0.921536@3@3@13@animal@biology.organism_classification] [qlf$1130:259$1923:1] [qraggregator$altsource=cal] ,0,0,93,48,43,25,2161,41,3334,93,15,28,EDGNTC,,,10.0,1,Bing,1,en-us,1
000cec84030443c49a1edbccb8e229aa,"1:08 AM","7/17/2016",31063,trending drama movies,trending drama movies,0,,1,0,-230887,239638,,,7,0,11,0,3,0,3387,6,144,11,3,4,NOFORM,Apple,iPhone,9.3.2,1,Bing,1,en-us,2
000d339084054c4a815104cd973df66b,"1:26 AM","7/17/2016",200,mdes ms gov,mdes.ms.gov,0,,4,1,230887,215923,Q0=word%3a(%22mdes+ms+gov%22+%22mdes+ms%22)&Q1=access+mississippi+online+unemployment+filing,[qlf$1103:0$1112:0][qlf$1070:1$1071:1$1072:1$1073:2$1075:500000$1076:999999$1078:590734$1079:1000000$1081:612330$1082:1000000$1084:1500000$1085:1500518$1087:590000$1088:0$1090:1000000$1091:1006491$1093:3$1094:3$1096:999288$1097:999897$1099:1000000$1100:0$1102:0$1105:999233$1106:996024$1108:9986$1109:19784$1111:0$1114:995074$1115:995074$1117:999599$1118:999599$1120:979299$1121:999599$1123:0$1124:915][qlf$2100:3] [maltaquery:0] [QASDirectives=1] [dfv2$Body:27791,27791] [InterestingTuple:4:0:0:0:1] [qlf$101:2$181:1$370:744507$381:0$677:0$678:0$684:1$685:34$2039:19243$2040:757678$2041:1$2300:246771$2400:1769930752$2401:8023552$2442:0$2443:0$2444:0$2445:0$2446:1$2447:1464$2448:1464$2449:1464$2610:203030528$2611:5120] [querypath=0:1:10] [qlf$1130:257$1923:1] [qraggregator$altsource=cal] ,7,0,49,49,0,4,501,8,3424,49,0,7,AMZNUN,Amazon,Kindle Fire (2015),5.1.1,1,Bing,1,en-us,4
000de22f3fa04f658daba33b28a77f33,"1:16 AM","7/17/2016",36127,,site:rawmangaland.com "パンドラ★パニック",0,,1,0,-230887,215923,,,0,0,0,0,0,0,0,0,0,0,0,0,NOFORM,,,6.2,1,Bing,1,en-us,1
000e10e592c045d9a9325016d1a58cec,"1:36 AM","7/17/2016",3664,uol com br o melhor conteudo,uol.com.br o melhor conteúdo,6,,2,1,230887,215923,,,7,0,25,2,9,1,2637,26,14,25,0,0,EDGNTC,,,10.0,1,Bing,1,pt-br,1
000e65fefd184ab29f5b1ebf4a92fdee,"1:51 AM","7/17/2016",3263,展覽 2016,展覽2016,5,,5,1,11064001,1607337,,,0,0,1,0,0,7,44,10,0,1,0,0,NOFORM,Generic,Android,4.4.2,1,Yahoo,3,zh-tw,2
000e692b27ac4b1a8019c87437a73dd3,"1:45 AM","7/17/2016",11814,craigslist trade ohio,craigslist trade ohio,1,,6,1,230887,215923,Q0=craigslist+trade+word%3a(ohio+oh)&Q1=craigslist+trade+rankonly%3aohio,[qlf$1070:0$1071:0][qlf$1072:1$1075:500000$1078:623864$1081:1000000$1084:1500000$1087:977666$1090:1000000$1093:3$1096:998521$1099:1000000$1102:0$1105:998561$1108:29827$1111:0$1114:970570$1117:998775$1120:971587$1123:0] [metastream=DomainLocationWords qlf$24=1] [forcetobigindex=true] [maltaquery:0] [QASDirectives=1] [dfv2$Body:11506788_95991702_49470192,78536897] [InterestingTuple:4:0:0:0:1] [InterestingTuple:4:1:1:1:1] [InterestingTuple:4:2:2:2:1] [InterestingTuple:5:0:0:0:1133] [InterestingTuple:5:1:2:2:702] [qlf$101:1$102:1$103:2$121:11850$122:8979$123:8637$131:21943$132:21800$141:7396$142:9551$143:7843$151:18488$152:20055$161:10663$162:9076$163:8404$171:20125$172:20577$182:1$370:870102$371:685665$372:717325$400:446$401:425$677:0$678:0$684:1$688:1$692:1$693:84$1722:816182655$1724:100070$1732:2221517768$1733:100052$1734:3119924473$1735:100013$1736:19599384$1757:481323101$1758:100012$2039:0$2040:0$2041:3$2290:2221517768$2291:9$2292:4241373095$2293:5$2294:2469802296$2295:5$2296:54365650$2297:5$2298:3352256096$2299:5$2300:781120$2301:717040$2302:690282$2311:100011$2400:2038267262$2401:427063040$2402:1110576193$2403:642461696$2404:691868228$2405:407906816$2442:0$2443:0$2444:0$2445:2$2446:1$2447:5059104$2448:3102995$2449:606448$2610:2055043454$2611:2905604$2612:1196036437$2613:3361068$2614:557518148$2615:2312462] [querypath=0::10] [querypath=1:0-0-1:8] [rankalt$w=craigslist$a=craigslist$s=532] [rankalt$w=ohio$a=oh$s=425] [rankalt$w=ohio$a=ohio$s=446] [rankalt$w=trade$a=market$s=57] [rankalt$w=trade$a=sell$s=84] [rankalt$w=trade$a=swap$s=78] [rankalt$w=trade$a=trade$s=450] [rankalt$w=trade$a=trades$s=63] [rankalt$w=trade$a=trading$s=105] [rankalt$w=trade$a=vocational$s=55] [prop$type:GEE$id:GEEEntityTM=bd53fb90-d3b5-e083-1315-01dcf99e671f@0.932461@0@0@1133@company@business.operation|47bee4c3-7910-b8eb-c72c-2853ceefead3@0.499573@1@1@833@CommonNoun@book.subject|6f3df7da-1ef6-48e3-b2b3-b5b5fce3e846@0.916773@2@2@702@organization@location.us_state] [qlf$1130:263$1923:1] [qraggregator$altsource=cal] ,0,0,51,50,0,0,2391,106,14698,51,1,7,QBLH,,,6.3,1,Bing,1,en-us,1
000f067565aa4656b7b098def44617d7,"1:04 AM","7/17/2016",30745,,o1zls,0,,1,0,-230887,215923,,,0,0,0,0,0,0,0,0,0,0,0,0,PORE,,,6.1,1,Bing,1,en-us,1
000fb3349a0e413485809fa6abee68f9,"1:57 AM","7/17/2016",36688,movies hillary clinton,Movies About Hillary Clinton,0,,6,0,-230887,215923,Q0=word%3a(movies+movie)+about+hillary+clinton&Q1=rankonly%3amovies+rankonly%3aabout+hillary+clinton&Q2=word%3a(movies+movie)+about+hillary+clinton&Q3=word%3a(movies+movie)+about+hillary+clinton,[qlf$1070:0$1071:0][qlf$1072:1$1075:500000$1078:856663$1081:1000000$1084:1500000$1087:973500$1090:1000000$1093:3$1096:996434$1099:1000000$1102:0$1105:997891$1108:36252$1111:0$1114:982255$1117:998420$1120:976183$1123:0] adjust:1194feature:#:" _Injected_MDM172_24_MSMovieId2015Jan" [feature=241mark:AdvancedPreferFeature_1194 wa:enablemultiqueryhostcollapse:0 wa:keepl3rankorder:0] [QASDirectives=1] [prop$type:nglist=0_0|155199402|452363+1_1|12579241|883994+2_2|21303229|845460+1_2|2262324|720534] [dfv2$Body:185316128,125082676_12579241_21303229] [InterestingTuple:0:0:1:2:1] [InterestingTuple:4:0:0:0:1] [InterestingTuple:4:1:1:2:99] [InterestingTuple:5:0:1:2:612] [qlf$101:2$102:1$103:1$121:7857$122:11690$123:10598$131:24777$132:12411$141:8050$142:10768$143:9871$151:23583$152:11171$161:7621$162:11294$163:10137$171:24132$172:11972$182:1$370:631322$371:782628$372:845720$380:489$381:289$677:0$678:0$684:1$685:20$688:1$692:1$1722:4234056570$1724:100074$1732:2539868304$1733:100055$1734:3003942558$1735:100029$1736:2157089206$1757:1753233952$1758:100019$2039:6$2040:166667$2041:4$2290:2539868304$2291:7$2292:3003942558$2293:6$2294:1968470961$2295:6$2296:504416919$2297:5$2298:1734624118$2299:5$2300:608900$2301:829995$2302:831569$2311:100012$2400:976949836$2401:710095616$2402:1046546024$2403:691213568$2404:843979353$2405:525149952$2442:0$2443:0$2444:0$2445:1$2446:2$2447:56569466$2448:14942863$2449:662970$2610:926814289$2611:3819548$2612:1213859175$2613:3678730$2614:978260827$2615:3422220$2632:1414749264$2633:8460] [querypath=0::10] [querypath=1:1:1] [rankalt$w=about$a=about$s=449] [rankalt$w=clinton$a=clinton$s=477] [rankalt$w=clinton$a=clintons$s=145] [rankalt$w=hillary$a=hillary$s=539] [rankalt$w=movies$a=film$s=102] [rankalt$w=movies$a=films$s=168] [rankalt$w=movies$a=movie$s=289] [rankalt$w=movies$a=movies$s=489] [rankalt$w=movies$a=videos$s=99] [prop$type:GEE$id:GEEEntityTM=12f43ce8-27db-830b-8bf5-34402d6a7997@0.665166@0@0@2030@CommonNoun@media_common.subject|82b92f37-7844-b683-443c-71f0cdf6dcb4@0.931586@2@3@612@actor@people.person] [qlf$1130:263$1923:1] [qraggregator$altsource=cal] ,0,0,52,52,0,0,2251,43,1629,52,1,7,R5FD,,,unknown,1,Bing,1,en-us,1
000fb57b6234453f9d3a5c5f4b7f7e0d,"1:53 AM","7/17/2016",52,air asia,airasia,3,air+asia;0.75,2,1,230887,215923,,,7,0,60,51,0,113,79,11,409,60,0,0,IE8SRC,,,6.1,1,Bing,1,en-sg,1
00100480b0c84b2e9cc887d2abae03ea,"1:57 AM","7/17/2016",2899,utility tool boxes,utility tool boxes,11,,7,1,230887,215923,,,7,0,99,49,48,84,3235,119,8449,99,25,7,CONBDF,,,,1,Bing,1,en-us,1
00103e7b45404baf9377781f762b693c,"1:15 AM","7/17/2016",31035,,site:.uk adventurous gent,0,,0,0,-3004994,944331,,,7,0,0,0,0,0,0,0,0,0,0,0,YHOOIL,,,6.1,1,Yahoo,1,en-us,1
0010bfb8563a49a28e78ea7f0c6ab315,"1:53 AM","7/17/2016",1006,,pg2000 router bit bearing lube pen,0,,0,0,-3004952,944231,,,0,0,0,0,0,0,0,0,0,0,0,0,YHOOIL,,,6.1,1,Yahoo,1,en-us,1
001219c87c2e4679a53b2cbd289dd49a,"1:17 AM","7/17/2016",1145,nn29 ft hydra sports boats,29ft hydra sports boats,0,29+ft+hydra+sports+boats;0.75,0,1,3004952,1195816,,,0,0,92,0,86,0,3104,43,2815,92,1,19,YHOOFP,UnknownWindowsRT,Windows RT Tablet,6.3,1,Yahoo,1,en-us,4
00129ca044324ca3b4649554169eb8f6,"1:06 AM","7/17/2016",2846,,清洗换热器片合理价格,0,,1,0,-230887,215923,,,7,0,0,0,0,0,0,0,0,0,0,0,NOFORM,,,5.1,1,Bing,1,zh-cn,1
0012aa6cfcaf4198aa8a69abcab235c6,"1:28 AM","7/17/2016",166,fire extinguisher hayward,fire extinguisher hayward,0,,10,0,-230887,215923,,,0,0,96,1,47,0,0,1,4209,96,52,1,PORE,,,,1,Bing,1,en-us,1
00131469899b482c8459e0c4c997f441,"12:14 AM","7/17/2016",11912,,base.php?panel= site:ru,0,,1,0,-230887,215923,,,0,0,0,0,0,0,0,0,0,0,0,0,NOFORM,,,5.1,1,Bing,1,en-us,1
001324b1523e4089b6f0cad1f746a058,"1:07 AM","7/17/2016",36201,carte anniversaire a imprimer,carte danniversaire à imprimer,0,carte+d'anniversaire+%c3%a0+imprimer;0.75,4,0,-230887,215923,,,7,0,121,48,59,7,161,188,4001,121,0,0,NOFORM,,,10.0,1,Bing,1,fr-fr,1
00134057074b4f78a80553a539a3d0d5,"1:44 AM","7/17/2016",166,yahoo mail,yahoo mail,0,,1,1,230887,215923,yahoo mail,[qlf$1070:0$1071:0$1072:1$1075:500000$1078:1000000$1081:1000000$1084:1500000$1087:992000$1090:1000000$1093:3$1096:999474$1099:1000000$1102:0$1105:999233$1108:9986$1111:0$1114:995074$1117:999599$1120:979299$1123:0][qlf$2100:3] [maltaquery:1] [qlf$2951:99] [QASDirectives=1] [dfv2$Body:98989155_387476596] [InterestingTuple:1:0:0:1:1] [InterestingTuple:4:0:0:1:98] [InterestingTuple:5:0:0:1:799] [qlf$101:1$102:1$121:8752$122:8486$131:13689$141:6555$142:7038$151:7773$161:6544$162:8893$171:13960$183:144338$184:144338$370:998094$371:1182429$677:0$678:0$684:1$688:1$1722:3813538169$1724:100313$1732:2539868304$1733:100146$1734:3499307710$1735:100056$1736:2928501411$1757:5208737$1758:100028$2039:61271729$2040:846265$2041:2$2300:920666$2301:449127$2311:100012$2400:2021422968$2401:276328448$2402:1785269789$2403:208692736$2442:0$2443:0$2444:0$2445:1$2446:0$2447:20421397$2448:12819239$2449:5217081$2610:2105375099$2611:3289628$2612:1970210579$2613:927243$2630:1919746316$2631:28418] [querypath=0::10] [rankalt$w=mail$a=mail$s=448] [rankalt$w=yahoo$a=yahoo$s=531] [prop$type:GEE$id:GEEEntityTM=5c69c117-1fd8-5794-1542-7fa6c9e5e724@10.000000@0@1@799@website@internet.website] [qlf$1130:259$1923:1] [qraggregator$altsource=cal] ,0,0,0,0,0,50,0,313,0,0,0,1,EDGHPC,,,10.0,1,Bing,1,en-us,1
0013b7ce492d4675916b9c67b1fd0438,"12:13 AM","7/17/2016",25462,url blogspot com viagra site it xo nn2,[url= blogspot.com viagra site:it xo 2,0,,0,0,-230887,215923,,,7,0,0,0,0,0,0,0,0,0,1,1,PERE8,,,unknown,1,Bing,1,en-us,1
0014aeaf96fc481aa360f7a60260463d,"1:02 AM","7/17/2016",36688,,ipad bluetooth savov the,0,,1,0,-230887,215923,,,0,0,0,0,0,0,0,0,0,0,0,0,NOFORM,,,6.1,1,Bing,1,en-us,1
0014fd8a38cb49938820725dc65d084c,"1:52 AM","7/17/2016",36680,,443 165.31,0,,1,0,-230887,215923,,,7,0,0,0,0,0,0,0,0,0,0,0,SECNEN,,,5.1,1,Bing,1,en-us,1
00154a6390244d6b9999cde5b7eca61c,"1:42 AM","7/17/2016",11702,hike intext powered by vbulletin,hike intext:"powered by vbulletin",0,,0,0,-230887,215923,,,0,0,0,0,0,0,10,0,0,0,0,0,QBLH,,,,1,Bing,1,zh-cn,1
0015a9212f8d4100b4ed762a0564d07d,"1:12 AM","7/17/2016",3626,kimler mason olamaz bilgi media,Kimler Mason Olamaz Bilgi Media,0,,10,0,-230887,215923,,,7,0,27,0,9,0,132,0,0,27,0,0,NOFORM,,,,1,Bing,1,de-de,1
00160e021f074f14ab7761bfaa385581,"1:37 AM","7/17/2016",5402,google,google,0,,1,1,3004952,1224443,,,7,0,8,0,0,39,9,0,0,8,0,0,NOFORM,Apple,iPhone,8.3,1,Yahoo,3,fr-fr,2
00172cee21614d438695a18f4d07dd5b,"1:40 AM","7/17/2016",31970,,hotel chocolat code,0,,1,0,-230887,215923,,,7,0,0,0,0,0,0,0,0,0,0,0,QBRE,,,unknown,1,Bing,1,en-gb,1
00175800dde44c0bb4314179105a8c5f,"1:34 AM","7/17/2016",36687,indianapolis roofing,indianapolis roofing,0,,6,0,-230887,215923,,,0,0,93,51,42,54,35192,33,39368,93,2,3,NOFORM,,,6.1,1,Bing,1,en-us,1
0017625991f84963ba02dc1270fc7e59,"1:13 AM","7/17/2016",36204,,Natwest select silver current account,0,,1,0,-230887,239638,,,4,0,0,0,0,0,0,0,0,0,0,0,QBRE,Apple,iPhone,8.2,1,Bing,3,en-gb,2
0017aa186a6748889d79557d06c9722b,"1:17 AM","7/17/2016",35233,veronica avluv,veronica avluv,0,,3,1,230887,215923,veronica avluv,[qlf$1070:0$1071:0$1072:1$1075:500000$1078:1000000$1081:1000000$1084:1500000$1087:992000$1090:1000000$1093:3$1096:999474$1099:1000000$1102:0$1105:999233$1108:9986$1111:0$1114:995074$1117:999599$1120:979299$1123:0][qlf$2100:3] [queryclass:names forcetobigindex=true qlf$20=1] [maltaquery:0] [QASDirectives=1] [prop$type:nglist=0_0|11233586|893277+1_1|879913|871536+0_1|333237|1053358] [dfv2$Body:11233586_879913] [InterestingTuple:4:0:0:1:99] [InterestingTuple:5:0:0:1:612] [qlf$101:1$102:1$121:11771$122:14102$131:14116$141:11723$142:14477$151:14633$161:11160$162:13717$171:13740$183:137262$184:137262$370:1079100$371:907026$677:0$678:0$684:1$688:1$1722:2539868304$1724:100164$1732:3499307710$1733:100084$1734:2157089206$1735:100043$1736:4246390849$1757:3288908402$1758:100041$2039:29627$2040:135282$2041:2$2300:960960$2301:964477$2311:100039$2400:626526565$2401:641209344$2402:644743284$2403:1078136320$2442:0$2443:0$2444:0$2445:1$2446:0$2447:592050$2448:319212$2449:46374$2610:558893666$2611:3485194$2612:224985722$2613:4933389$2630:694318684$2631:18717] [querypath=0::10] [rankalt$w=avluv$a=avluv$s=462] [rankalt$w=veronica$a=veronica$s=579] [prop$type:GEE$id:GEEEntityTM=616680bc-819f-43dc-9622-7e0d33175340@10.000000@0@1@612@actor@people.person] [qlf$1130:259$1923:1] [qraggregator$altsource=cal] ,7,0,31,31,0,1,136,0,64,31,1,3,AWRE,,,10.0,1,Bing,1,en-us,1
0017cb02acc2438dbf14df895e92b526,"1:54 AM","7/17/2016",35423,,jayandambs.blogspot.com,0,,1,0,-230887,215923,,,0,0,0,0,0,0,0,0,0,0,0,0,NOFORM,,,5.1,1,Bing,1,en-us,1
00188542035a4538b1ce33ec31d76bb8,"12:58 AM","7/17/2016",1012,my friend started smoking weed do i do,my friend starting smoking weed; what do i do?,1,My+Friend+started+Smoking+Weed%2c+What+do+I+Do%3f;0.75,9,1,3004952,1224461,,,7,0,12,0,1,0,3858,10,0,12,15,10,NOFORM,,,unknown,2,Yahoo,1,en-us,1
0018be637a004a28b1b303457beb8ab5,"12:18 AM","7/17/2016",34586,,hot young bloods 2014,0,,1,0,-230887,215923,,,0,0,0,0,0,0,0,0,0,0,0,0,NOFORM,,,6.0,1,Bing,1,en-us,1
0018d4d01fd348edb2225e922de65a2c,"1:56 AM","7/17/2016",1007,,lackawanna county pennsylvania death certificates login,0,,0,0,-3004952,1195816,,,0,0,0,0,0,0,0,0,0,0,0,0,YHOOIL,,,6.3,1,Yahoo,1,en-us,1
00190248023943b0967b8d4803cb174e,"1:01 AM","7/17/2016",6,,8888 149.110,0,,1,0,-230887,215923,,,0,0,0,0,0,0,0,0,0,0,0,0,SECNEN,,,5.1,1,Bing,1,en-us,1
